                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.62789,                0.40552,                0.89277,                0.99206,                0.84615,                0.92507,                0.84758,                0.52804,                 0.6213,                0.92297,               0.003763,               0.003763,               0.003763
                     65,                0.58102,                0.38655,                0.88263,                0.98824,                0.84615,                0.94857,                0.87196,                0.48914,                0.54099,                0.91112,               0.003664,               0.003664,               0.003664
                     66,                0.53654,                0.36569,                0.86749,                0.92259,                0.91722,                0.93208,                 0.8598,                0.51777,                0.60942,                0.92337,               0.003565,               0.003565,               0.003565
                     67,                0.50471,                 0.3826,                0.85467,                0.91082,                0.84615,                0.93583,                0.85801,                0.50299,                0.52115,                0.91768,               0.003466,               0.003466,               0.003466
                     68,                0.51329,                0.36087,                0.85855,                0.91071,                0.84615,                 0.9394,                0.85533,                0.48832,                0.51133,                0.91398,               0.003367,               0.003367,               0.003367
                     69,                0.51157,                 0.3675,                0.88459,                0.85617,                0.91624,                0.94482,                0.85096,                0.49894,                0.47868,                0.91784,               0.003268,               0.003268,               0.003268
                     70,                0.53294,                0.35995,                0.87504,                0.85546,                0.91129,                 0.9524,                0.85658,                0.50255,                0.48581,                0.92519,               0.003169,               0.003169,               0.003169
                     71,                0.47783,                0.35216,                0.86181,                0.91438,                0.84615,                0.95304,                0.86124,                0.52823,                0.48398,                0.92306,                0.00307,                0.00307,                0.00307
                     72,                0.51068,                0.35455,                0.85532,                0.91575,                0.84615,                0.96021,                0.87341,                0.48893,                0.44976,                0.90891,               0.002971,               0.002971,               0.002971
                     73,                0.48454,                0.35353,                0.86586,                0.89548,                      1,                0.97857,                0.89871,                0.49823,                0.40611,                 0.9115,               0.002872,               0.002872,               0.002872
                     74,                0.50607,                0.35321,                0.83841,                0.91866,                      1,                0.97857,                0.88635,                0.49065,                0.40796,                0.91071,               0.002773,               0.002773,               0.002773
                     75,                0.50033,                 0.3409,                 0.8339,                0.91511,                0.92308,                0.96622,                0.88606,                 0.4608,                0.42524,                0.90628,               0.002674,               0.002674,               0.002674
                     76,                0.47164,                0.34147,                0.87118,                0.91426,                0.92308,                0.96957,                0.88399,                0.46329,                0.42123,                   0.91,               0.002575,               0.002575,               0.002575
                     77,                0.50273,                0.34115,                0.84945,                0.92726,                0.98163,                0.97857,                0.88671,                0.44932,                0.41796,                0.90445,               0.002476,               0.002476,               0.002476
                     78,                 0.4689,                0.32166,                0.86436,                0.92169,                0.90645,                0.97857,                0.88566,                0.44071,                0.46141,                0.89396,               0.002377,               0.002377,               0.002377
                     79,                0.48509,                0.35533,                0.86058,                0.92289,                0.92088,                0.97857,                0.89022,                0.45402,                0.44987,                0.89045,               0.002278,               0.002278,               0.002278
                     80,                 0.5152,                0.36189,                0.89435,                0.92181,                0.90793,                0.97336,                0.89235,                0.45791,                0.48264,                0.89218,               0.002179,               0.002179,               0.002179
                     81,                 0.4326,                0.32124,                0.84682,                0.90474,                0.92308,                0.97336,                0.89565,                0.45646,                0.45585,                0.89117,                0.00208,                0.00208,                0.00208
                     82,                0.46004,                0.31931,                0.86375,                0.92506,                 0.9509,                0.97857,                0.88666,                 0.4384,                 0.4589,                0.88688,               0.001981,               0.001981,               0.001981
                     83,                0.44202,                 0.3289,                0.84456,                 0.9277,                 0.9878,                0.97857,                0.88967,                0.44778,                0.42295,                0.89705,               0.001882,               0.001882,               0.001882
                     84,                0.44056,                0.31107,                0.86677,                0.91933,                      1,                0.97857,                0.88967,                0.45342,                0.37397,                0.90234,               0.001783,               0.001783,               0.001783
                     85,                0.45386,                0.31589,                0.86102,                0.91938,                      1,                0.97857,                0.89577,                0.46565,                0.36212,                0.90929,               0.001684,               0.001684,               0.001684
                     86,                0.47101,                0.33394,                0.85704,                0.91583,                      1,                0.97857,                0.90154,                 0.4562,                0.38089,                0.90702,               0.001585,               0.001585,               0.001585
                     87,                0.44179,                0.30626,                0.85216,                0.90581,                      1,                0.97857,                0.89101,                0.46645,                0.39417,                0.90935,               0.001486,               0.001486,               0.001486
                     88,                0.44081,                0.32737,                0.84382,                0.92263,                0.91769,                0.96622,                0.88542,                 0.4488,                0.48321,                0.90228,               0.001387,               0.001387,               0.001387
                     89,                0.42218,                0.29711,                0.85049,                0.92282,                   0.92,                0.92554,                0.86327,                0.42879,                0.51293,                0.89622,               0.001288,               0.001288,               0.001288
                     90,                0.42236,                0.29837,                0.85788,                0.92282,                0.92001,                0.92554,                0.86327,                0.42285,                0.50715,                0.89528,               0.001189,               0.001189,               0.001189
                     91,                0.42946,                0.31064,                 0.8484,                0.92304,                0.92263,                0.92829,                0.84274,                0.44644,                0.50604,                0.89978,                0.00109,                0.00109,                0.00109
                     92,                0.39713,                0.28917,                0.83853,                0.92136,                0.92308,                0.94519,                0.85009,                0.44488,                 0.4534,                0.89954,               0.000991,               0.000991,               0.000991
                     93,                0.40637,                0.28526,                0.83661,                 0.9206,                0.92308,                0.95819,                0.87809,                0.43974,                0.45997,                0.89913,               0.000892,               0.000892,               0.000892
                     94,                0.40438,                0.28935,                0.83478,                0.91734,                0.92308,                0.96957,                0.89106,                0.44919,                0.40042,                0.90256,               0.000793,               0.000793,               0.000793
                     95,                0.44924,                0.30294,                0.88731,                0.92807,                0.99302,                0.97857,                0.89931,                0.46384,                0.38844,                0.90839,               0.000694,               0.000694,               0.000694
                     96,                0.42899,                0.30441,                0.83423,                0.92809,                 0.9932,                0.97857,                0.88354,                0.48658,                0.36439,                0.91586,               0.000595,               0.000595,               0.000595
                     97,                0.44193,                0.30022,                 0.8539,                0.92812,                0.99365,                0.97857,                0.87725,                0.50057,                 0.3707,                0.91963,               0.000496,               0.000496,               0.000496
                     98,                0.40501,                0.27348,                0.84465,                0.92811,                0.99359,                0.97857,                0.89225,                0.50082,                0.36471,                0.92085,               0.000397,               0.000397,               0.000397
                     99,                0.42934,                0.30446,                0.83054,                0.92811,                0.99353,                0.97857,                0.87806,                0.50188,                0.36802,                0.92035,               0.000298,               0.000298,               0.000298
